sighting_id,species,latitude,longitude,year,month
10817,Fin Whale,33.38828,-118.33,2014,Nov
10817,Fin Whale,33.38828,-118.33,2014,Nov
10817,Fin Whale,33.38828,-118.33,2014,Nov
10819,Humpback Whale,36.7892,-121.908,2014,Nov
10819,Humpback Whale,36.7892,-121.908,2014,Nov
10819,Humpback Whale,36.7892,-121.908,2014,Nov
10819,Humpback Whale,36.7892,-121.908,2014,Nov
10819,Humpback Whale,36.7892,-121.908,2014,Nov
10819,Humpback Whale,36.7892,-121.908,2014,Nov
10819,Humpback Whale,36.7892,-121.908,2014,Nov
10819,Humpback Whale,36.7892,-121.908,2014,Nov
10819,Humpback Whale,36.7892,-121.908,2014,Nov
10819,Humpback Whale,36.7892,-121.908,2014,Nov
10819,Humpback Whale,36.7892,-121.908,2014,Nov
10819,Humpback Whale,36.7892,-121.908,2014,Nov
10819,Humpback Whale,36.7892,-121.908,2014,Nov
10819,Humpback Whale,36.7892,-121.908,2014,Nov
10819,Humpback Whale,36.7892,-121.908,2014,Nov
10819,Humpback Whale,36.7892,-121.908,2014,Nov
10819,Humpback Whale,36.7892,-121.908,2014,Nov
10819,Humpback Whale,36.7892,-121.908,2014,Nov
10819,Humpback Whale,36.7892,-121.908,2014,Nov
10819,Humpback Whale,36.7892,-121.908,2014,Nov
10880,Humpback Whale,36.80048,-121.9,2014,Nov
11027,Humpback Whale,33.83058,-118.416,2014,Nov
11080,Humpback Whale,33.82279,-118.445,2014,Dec
11148,Humpback Whale,34.15411,-119.454,2014,Dec
11148,Humpback Whale,34.15411,-119.454,2014,Dec
11169,Humpback Whale,34.15109,-119.424,2014,Dec
11171,Humpback Whale,34.13889,-119.445,2014,Dec
11171,Humpback Whale,34.13889,-119.445,2014,Dec
11270,Humpback Whale,34.1428,-119.32,2014,Dec
11271,Humpback Whale,34.14978,-119.254,2014,Dec
11287,Humpback Whale,34.23334,-119.646,2014,Dec
11346,Humpback Whale,33.8319,-118.415,2015,Jan
11346,Humpback Whale,33.8319,-118.415,2015,Jan
11348,Humpback Whale,33.8319,-118.415,2015,Jan
11348,Humpback Whale,33.8319,-118.415,2015,Jan
11367,Humpback Whale,34.15528,-119.421,2015,Jan
11633,Humpback Whale,34.13756,-119.415,2015,Jan
